alcohol,density,volatile acidity,chlorides,residual sugar,quality
10.8,0.9917,0.19,0.035,1.9,7
11.8,0.9923,0.28,0.029,1.9,6
10.2,0.9927,0.31,0.045,2.2,5
10.8,0.992,0.21,0.039,1.2,6
9.7,0.9947,0.21,0.036,4.3,6
11.2,0.9921,0.2,0.037,2.0,6
10.9,0.9905,0.255,0.04,1.1,6
10.1,0.9918,0.16,0.044,1.4,6
9.0,0.9951,0.595,0.058,5.2,4
12.0,0.9917,0.34,0.034,4.6,7
9.4,0.994,0.25,0.054,4.1,6
11.5,0.9934,0.22,0.043,8.0,7
9.9,0.9968,0.18,0.055,10.2,6
10.4,0.9919,0.18,0.048,1.2,5
9.7,0.9966,0.23,0.049,7.5,6
8.9,0.9979,0.24,0.066,14.0,6
12.4,0.9898,0.32,0.036,1.5,7
12.1,0.9894,0.44,0.036,1.4,8
9.1,0.998,0.22,0.055,14.5,5
10.6,0.9932,0.36,0.049,4.8,5
9.5,0.997,0.24,0.05,13.1,5
9.8,0.9972,0.23,0.051,13.0,5
9.6,0.9974,0.27,0.048,8.7,6
12.6,0.9896,0.46,0.034,2.4,7
9.3,0.9968,0.29,0.055,8.95,5
10.0,0.9958,0.42,0.034,9.85,5
12.7,0.9906,0.3,0.066,1.5,6
11.0,0.9917,0.19,0.045,1.5,6
11.4,0.9902,0.48,0.037,0.8,4
11.5,0.9918,0.22,0.038,4.55,7
10.2,0.999,0.27,0.051,17.7,5
11.4,0.9927,0.23,0.04,7.5,6
12.6,0.991,0.32,0.044,5.1,4
9.4,0.9972,0.23,0.054,12.9,5
8.7,0.9931,0.67,0.06,1.2,4
9.2,0.995,0.25,0.049,5.5,6
9.3,0.9951,0.33,0.048,5.5,6
9.2,0.9936,0.34,0.053,1.2,5
8.7,1.001,0.28,0.048,22.0,5
9.6,0.9979,0.27,0.05,14.0,6
9.3,0.997,0.26,0.043,11.9,5
9.3,0.9972,0.29,0.043,11.9,5
9.9,0.9954,0.24,0.04,9.4,6
11.0,0.9924,0.3,0.038,4.2,5
12.7,0.9906,0.53,0.034,3.8,8
8.9,0.9962,0.28,0.047,8.5,4
8.9,0.9962,0.28,0.052,8.5,6
11.4,0.9928,0.28,0.045,8.0,6
9.6,0.9942,0.15,0.055,5.1,5
9.1,0.9942,0.29,0.2,3.6,5
9.1,0.9942,0.3,0.197,3.5,6
9.1,0.9942,0.29,0.197,3.6,5
8.9,0.9961,0.26,0.052,7.8,5
8.8,0.998,0.32,0.05,13.1,5
9.3,0.9984,0.27,0.049,16.1,5
9.6,0.9973,0.54,0.05,13.2,5
12.0,0.9949,0.26,0.034,13.9,6
10.2,0.9924,0.28,0.053,2.3,4
8.8,0.9972,0.21,0.042,11.6,5
9.2,0.9958,0.16,0.045,8.3,5
9.9,0.9968,0.44,0.049,6.2,4
10.2,0.9938,0.57,0.04,2.2,5
9.5,0.993,0.4,0.048,0.9,6
10.5,0.994,0.245,0.032,9.7,5
11.2,0.9918,0.18,0.038,1.4,7
9.7,0.9944,0.13,0.051,5.3,6
11.1,0.9912,0.25,0.03,1.4,7
9.4,0.9961,0.26,0.044,9.2,5
11.0,0.9939,0.27,0.036,7.0,5
9.4,0.9989,0.28,0.044,17.5,5
11.0,0.9938,0.23,0.036,7.0,5
9.1,0.9971,0.685,0.07,9.5,6
9.1,0.9936,0.19,0.043,0.8,6
10.4,0.9929,0.495,0.046,1.8,6
8.7,0.9998,0.24,0.046,17.8,5
9.7,0.9938,0.17,0.048,2.4,6
9.1,0.9969,0.25,0.041,10.3,6
8.9,0.9972,0.64,0.062,9.7,4
9.6,0.9976,0.28,0.041,7.8,6
9.5,0.9976,0.27,0.039,7.8,6
9.0,0.9979,0.23,0.058,14.3,6
9.6,0.9972,0.52,0.044,13.2,6
11.1,0.9918,0.26,0.037,1.4,7
9.6,0.9982,0.25,0.039,15.55,6
8.7,0.9985,0.32,0.05,13.7,5
10.4,0.9944,0.31,0.031,7.8,5
11.4,0.9903,0.21,0.026,2.4,7
9.7,0.9934,0.24,0.047,2.7,6
8.7,0.9975,0.4,0.043,11.2,5
11.3,0.9923,0.18,0.038,2.0,6
12.6,0.99,0.21,0.03,2.1,7
10.9,0.9905,0.2,0.031,1.4,7
10.9,0.9905,0.19,0.03,1.4,7
10.0,0.996,0.41,0.037,10.4,5
10.0,0.9964,0.21,0.053,4.6,4
9.8,0.998,0.26,0.074,16.2,3
11.7,0.9913,0.24,0.029,3.5,3
9.3,0.9932,0.24,0.054,1.5,6
9.6,0.9935,0.26,0.04,1.1,8
11.0,0.9927,0.35,0.035,5.7,7
11.8,0.9912,0.23,0.032,1.8,6
11.4,0.9904,0.36,0.037,0.9,4
10.2,0.9939,0.115,0.048,5.4,6
8.9,0.9996,0.29,0.043,19.45,5
10.2,0.9944,0.28,0.036,8.2,5
9.6,0.9977,0.29,0.045,13.6,6
10.6,0.9912,0.24,0.038,1.2,6
9.2,0.9965,0.32,0.053,8.3,6
9.7,0.9944,0.58,0.043,6.9,5
9.7,0.9945,0.585,0.044,7.1,6
9.7,0.9944,0.59,0.045,7.0,6
9.7,0.9944,0.6,0.044,7.0,5
9.3,0.9972,0.25,0.051,13.1,5
9.0,0.9949,0.58,0.057,5.1,5
9.5,0.9966,0.29,0.046,10.7,5
9.8,0.9954,0.19,0.046,8.9,6
9.8,0.9954,0.2,0.044,9.1,6
10.6,0.9915,0.26,0.042,1.1,5
10.6,0.9919,0.32,0.044,1.2,4
12.4,0.9916,0.3,0.036,4.7,7
12.6,0.99,0.24,0.034,2.8,8
12.3,0.9909,0.31,0.039,5.0,8
10.5,0.9938,0.44,0.047,5.1,4
9.3,0.9982,0.34,0.054,15.6,5
8.8,0.9988,0.35,0.055,15.4,5
8.8,0.9961,0.32,0.056,7.2,5
9.7,0.9978,0.28,0.053,15.7,6
9.0,0.9979,0.23,0.058,14.2,7
10.5,0.9945,0.15,0.041,5.8,6
9.1,1.0,0.28,0.066,19.8,5
9.8,0.9957,0.28,0.041,7.3,7
8.5,0.9968,0.59,0.066,1.6,3
9.4,0.9934,0.33,0.046,1.2,6
9.4,0.9976,0.39,0.045,10.6,5
11.2,0.9932,0.19,0.041,3.8,7
10.0,0.997,0.17,0.046,11.3,6
10.3,0.9923,0.17,0.043,2.1,6
10.8,0.9914,0.41,0.063,1.6,6
10.5,0.992,0.2,0.05,0.9,6
11.1,0.9914,0.29,0.055,1.3,6
9.9,0.9949,0.41,0.057,6.8,6
9.9,0.995,0.43,0.058,6.7,5
9.9,0.995,0.4,0.058,6.7,6
10.4,0.9927,0.33,0.036,4.9,7
10.4,0.9928,0.31,0.037,4.8,6
11.5,0.9917,0.36,0.035,2.1,7
12.5,0.9918,0.55,0.032,8.3,8
10.0,0.9954,0.25,0.042,3.7,6
10.0,0.9941,0.36,0.038,6.7,6
10.0,0.9941,0.34,0.04,6.6,5
9.1,0.9934,0.28,0.132,1.1,6
10.6,0.9927,0.25,0.031,4.7,6
10.5,0.9938,0.24,0.031,7.7,5
11.5,0.9933,0.3,0.03,7.85,7
10.1,0.9934,0.125,0.04,3.3,6
10.3,0.9927,0.1,0.041,1.1,7
10.4,0.9946,0.28,0.031,9.3,6
11.4,0.993,0.41,0.046,2.0,5
10.5,0.9946,0.27,0.057,5.8,5
10.0,0.9976,0.26,0.04,15.15,6
10.0,0.9944,0.34,0.039,6.3,6
9.6,0.9978,0.28,0.042,15.4,6
10.4,0.992,0.21,0.036,1.3,5
12.5,0.9912,0.32,0.03,4.8,8
10.6,0.9927,0.24,0.032,4.6,5
11.8,0.9906,0.23,0.033,1.8,6
9.8,0.9954,0.28,0.038,9.9,5
10.8,0.9923,0.26,0.031,5.7,5
11.2,0.991,0.23,0.036,1.5,6
9.3,0.9972,0.27,0.045,12.3,6
10.4,0.9945,0.26,0.047,1.3,5
10.2,0.9934,0.18,0.049,1.5,7
9.0,0.9964,0.2,0.045,7.8,7
10.0,0.9948,0.24,0.047,1.5,6
9.1,0.9962,0.26,0.044,9.7,6
10.0,0.9931,0.31,0.053,3.0,5
10.0,0.993,0.29,0.052,3.0,6
9.6,0.9942,0.145,0.05,4.6,6
11.2,0.9906,0.34,0.031,1.3,7
8.8,0.9995,0.19,0.056,15.6,6
10.0,0.998,0.18,0.052,13.6,6
10.0,0.997,0.17,0.054,11.2,5
11.4,0.9914,0.12,0.044,2.1,7
11.9,0.992,0.33,0.038,6.85,7
9.6,0.9924,0.335,0.071,2.5,6
9.6,0.9937,0.4,0.047,4.4,6
9.0,0.9978,0.22,0.063,14.3,6
9.5,0.9927,0.36,0.05,1.1,6
10.4,0.994,0.2,0.05,1.4,6
10.6,0.9935,0.24,0.04,4.7,6
10.2,0.9968,0.24,0.047,14.9,6
8.9,0.9941,0.365,0.055,1.2,5
9.7,0.9942,0.15,0.05,5.3,6
11.4,0.9923,0.16,0.037,2.3,7
12.3,0.9912,0.26,0.028,3.5,7
10.8,0.9923,0.18,0.089,1.5,6
9.4,0.9927,0.33,0.053,1.0,6
10.6,0.9931,0.29,0.049,2.3,6
11.6,0.9941,0.39,0.044,12.5,5
10.0,0.9934,0.905,0.048,0.8,5
9.2,0.9936,0.27,0.048,2.4,6
12.5,0.9893,0.33,0.027,1.6,7
10.4,0.9919,0.31,0.037,1.5,7
10.0,0.9924,0.2,0.045,1.4,7
10.0,0.9927,0.32,0.049,2.6,6
9.0,0.9975,0.28,0.046,12.5,6
9.2,0.9969,0.35,0.051,9.6,6
11.3,0.991,0.36,0.027,3.2,7
10.8,0.9906,0.17,0.026,1.5,7
10.1,0.9941,0.39,0.04,5.9,5
9.7,0.995,0.21,0.047,5.4,6
9.3,0.9983,0.3,0.032,14.9,7
10.6,0.9916,0.36,0.031,1.1,5
10.2,0.9957,0.55,0.031,9.8,6
12.2,0.99,0.24,0.021,2.0,6
8.8,0.9976,0.37,0.044,11.8,5
10.0,0.992,0.27,0.04,1.3,5
11.4,0.9917,0.28,0.031,1.8,5
11.4,0.9917,0.2,0.037,1.5,6
9.4,0.9993,0.26,0.048,18.2,5
11.7,0.9908,0.19,0.032,2.9,6
9.2,0.9934,0.35,0.069,1.4,5
8.7,1.0,0.27,0.046,18.2,5
12.6,0.9918,0.22,0.035,6.3,6
12.8,0.9896,0.28,0.031,4.0,7
9.4,0.9932,0.49,0.049,1.2,5
10.3,0.992,0.14,0.044,1.2,6
9.0,0.9999,0.25,0.038,18.95,6
9.6,0.998,0.28,0.04,12.7,6
10.5,0.9918,0.19,0.036,1.2,5
9.8,0.9927,0.21,0.041,1.2,6
9.0,0.9959,0.26,0.047,7.7,5
10.5,0.9929,0.31,0.05,1.6,6
12.7,0.9898,0.22,0.03,2.7,7
10.4,0.9954,0.21,0.045,8.7,6
10.4,0.9954,0.21,0.045,8.6,6
10.5,0.9954,0.23,0.047,8.3,7
9.4,0.9974,0.29,0.053,13.3,5
9.1,0.9936,0.21,0.051,1.2,5
9.3,0.9978,0.31,0.056,13.6,5
9.8,0.9927,0.34,0.048,1.1,5
9.9,0.9934,0.155,0.045,2.3,7
9.2,0.9938,0.55,0.108,1.5,4
12.1,0.9922,0.23,0.028,7.1,8
12.2,0.992,0.2,0.027,6.2,7
9.8,0.9935,0.28,0.042,2.5,5
12.4,0.9906,0.16,0.035,1.4,8
9.2,0.9934,0.35,0.06,1.2,5
11.6,0.9913,0.22,0.028,1.6,7
10.4,0.9938,0.38,0.033,6.6,6
12.9,0.9898,0.25,0.026,2.2,8
9.3,0.9975,0.52,0.048,12.2,6
11.0,0.9975,0.24,0.031,20.8,6
11.5,0.9937,0.32,0.038,11.0,3
12.4,0.9914,0.28,0.054,2.6,5
9.8,0.9982,0.41,0.048,14.0,6
10.5,0.9929,0.28,0.052,1.6,7
9.1,0.9971,0.6,0.07,9.9,5
10.1,0.9921,0.2,0.038,1.2,5
10.6,0.9931,0.46,0.042,2.7,7
10.5,0.9924,0.27,0.046,1.6,7
9.8,0.9982,0.41,0.048,14.0,6
12.9,0.9892,0.23,0.022,1.5,7
9.5,0.9956,0.21,0.056,8.6,5
9.8,0.9924,0.37,0.053,1.0,6
8.5,0.9971,0.43,0.059,9.1,5
9.3,0.9982,0.25,0.047,15.2,5
9.5,0.9973,0.25,0.047,12.4,5
9.4,0.9932,0.32,0.044,2.2,6
8.7,0.9976,0.39,0.047,11.0,5
8.9,0.9962,0.21,0.081,10.0,5
9.4,0.9956,0.14,0.039,9.0,6
9.6,0.9992,0.29,0.047,18.15,5
9.3,0.9983,0.37,0.039,12.15,6
10.0,0.9937,0.38,0.036,3.4,5
12.5,0.99,0.24,0.023,2.0,6
9.6,0.9944,0.17,0.034,4.8,7
9.4,0.9938,0.16,0.03,4.5,6
9.5,0.9965,0.24,0.029,11.0,5
12.4,0.9893,0.28,0.028,1.1,7
10.5,0.9927,0.22,0.037,1.5,6
9.2,0.994,0.55,0.073,1.7,6
10.4,0.9928,0.22,0.041,1.7,6
9.2,0.9964,0.47,0.043,8.9,5
10.6,0.9917,0.36,0.047,1.3,6
9.5,0.9972,0.25,0.044,13.3,5
9.6,0.9954,0.37,0.346,6.6,5
9.7,0.993,0.18,0.028,1.5,6
9.7,0.9928,0.16,0.025,1.5,6
10.7,0.9916,0.34,0.035,1.3,6
10.5,0.9936,0.29,0.045,1.6,6
8.9,0.9962,0.26,0.047,7.6,6
12.1,0.9899,0.28,0.035,1.0,6
12.7,0.9898,0.23,0.032,1.6,7
9.9,0.996,0.19,0.039,8.9,6
11.4,0.9907,0.19,0.022,1.8,6
10.7,0.994,0.2,0.04,4.7,6
12.5,0.9913,0.44,0.025,7.0,6
8.6,0.9976,0.4,0.041,10.8,4
12.5,0.9904,0.23,0.026,1.6,6
10.0,0.992,0.335,0.04,1.0,5
9.5,0.999,0.28,0.045,16.7,6
9.6,0.9975,0.19,0.038,14.2,6
9.9,0.9937,0.3,0.038,2.25,6
9.9,0.9937,0.3,0.037,2.25,5
8.9,0.998,0.18,0.053,12.2,6
8.8,0.9944,0.51,0.09,3.3,5
10.0,0.9938,0.24,0.048,1.9,7
12.0,0.9907,0.62,0.039,3.5,6
10.0,0.9921,0.27,0.041,1.3,6
12.1,0.9908,0.34,0.042,1.8,6
11.0,0.9931,0.26,0.04,5.2,6
11.2,0.9915,0.36,0.025,1.4,6
10.3,0.9952,0.28,0.036,9.0,7
10.4,0.9926,0.31,0.051,2.2,6
9.1,0.9934,0.18,0.055,1.6,5
10.4,0.992,0.15,0.045,1.7,6
10.8,0.9918,0.13,0.05,1.9,6
11.7,0.9942,0.34,0.048,12.6,5
9.8,0.9942,0.19,0.039,2.1,5
11.4,0.9901,0.25,0.038,1.3,6
11.2,0.9898,0.36,0.033,1.7,6
11.4,0.9902,0.35,0.038,1.0,5
9.2,0.9934,0.32,0.114,3.3,6
12.5,0.9906,0.31,0.04,5.0,4
12.6,0.9898,0.28,0.034,1.8,6
12.2,0.9896,0.36,0.031,1.6,6
11.2,0.9922,0.19,0.03,4.5,6
9.7,0.9947,0.1,0.048,4.9,6
9.3,0.9945,0.18,0.186,4.0,5
9.0,0.9976,0.25,0.067,13.2,6
9.1,0.9987,0.345,0.047,15.3,5
10.4,0.992,0.24,0.045,1.5,5
9.5,0.9955,0.25,0.053,4.55,6
11.4,0.9953,0.31,0.04,9.9,4
8.7,0.9976,0.46,0.05,10.4,5
9.9,0.992,0.35,0.045,1.1,6
9.9,0.9952,0.24,0.036,8.7,6
9.0,0.9983,0.28,0.047,13.9,6
10.0,0.9933,0.16,0.04,1.4,6
9.7,0.9958,0.26,0.039,7.2,6
11.8,0.9922,0.22,0.052,1.9,6
10.2,0.9928,0.18,0.044,1.7,7
9.6,0.9976,0.3,0.05,13.6,7
11.3,0.9916,0.25,0.026,1.2,7
12.1,0.9901,0.28,0.028,1.6,7
9.4,0.9982,0.35,0.046,12.2,5
10.4,0.993,0.41,0.049,1.6,6
9.5,0.9969,0.21,0.044,12.1,5
12.3,0.991,0.34,0.047,4.2,6
9.9,0.9953,0.21,0.049,9.1,7
10.1,0.9924,0.37,0.057,1.6,5
9.2,0.9969,0.34,0.063,8.8,6
10.4,0.9928,0.3,0.046,1.4,7
9.1,0.9945,0.51,0.066,4.2,5
10.0,0.9967,0.22,0.059,10.3,6
11.5,0.9944,0.35,0.051,12.4,6
9.8,0.9928,0.26,0.048,2.2,5
9.8,0.9929,0.26,0.05,2.2,6
9.4,0.9948,0.28,0.04,5.2,6
8.7,0.9976,0.41,0.051,10.8,5
11.6,0.9912,0.28,0.038,2.7,7
8.8,0.9987,0.34,0.047,16.3,5
12.7,0.99,0.2,0.032,2.7,7
11.7,0.991,0.2,0.035,1.9,7
10.2,0.9933,0.22,0.047,1.8,6
10.2,0.9933,0.23,0.047,1.8,6
12.7,0.9899,0.22,0.033,2.8,7
12.3,0.9912,0.38,0.034,6.0,7
9.4,0.994,0.18,0.042,4.2,5
10.1,0.9947,0.3,0.056,6.4,6
9.7,0.9954,0.24,0.042,10.7,6
10.1,0.993,0.25,0.046,1.6,7
8.9,0.9963,0.26,0.049,7.9,6
10.8,0.992,0.32,0.034,1.7,7
10.8,0.9926,0.28,0.036,2.1,7
9.5,0.995,0.23,0.04,5.8,6
9.1,0.9983,0.31,0.059,14.5,5
10.9,0.992,0.2,0.037,1.2,6
9.4,0.9968,0.41,0.043,10.1,5
10.8,0.9905,0.45,0.03,1.1,5
10.8,0.9904,0.475,0.03,1.0,5
10.5,0.9926,0.27,0.051,0.9,7
10.8,0.9928,0.29,0.034,4.9,6
10.5,0.9949,0.27,0.036,11.4,8
11.5,0.9909,0.19,0.036,1.4,7
9.4,0.9937,0.3,0.18,1.4,6
10.8,0.9914,0.24,0.045,1.4,6
9.8,0.9924,0.26,0.052,1.5,6
9.6,0.9965,0.25,0.049,7.5,5
9.5,0.9993,0.28,0.044,17.75,5
10.7,0.9965,0.37,0.061,5.7,6
12.4,0.9908,0.36,0.037,3.2,8
11.1,0.992,0.24,0.032,4.3,6
8.8,0.9978,0.23,0.047,11.0,5
8.7,0.9978,0.21,0.045,10.9,5
11.7,0.9912,0.32,0.037,2.4,7
10.9,0.9928,0.26,0.051,1.9,6
10.8,0.9928,0.24,0.051,1.8,6
9.6,0.993,0.19,0.057,1.4,6
9.0,0.9993,0.46,0.084,16.8,5
9.0,0.9965,0.26,0.083,8.9,5
10.4,0.9937,0.32,0.043,6.6,6
11.4,0.9913,0.24,0.045,1.1,5
9.3,0.9934,0.36,0.066,1.4,5
11.0,0.9952,0.24,0.039,13.3,8
9.1,0.9983,0.56,0.096,10.4,4
9.4,0.9957,0.32,0.048,6.2,6
10.5,0.9916,0.31,0.036,1.2,6
8.8,0.9999,0.23,0.05,18.05,5
10.7,0.9936,0.24,0.04,4.8,6
9.5,0.9972,0.29,0.045,12.6,5
10.9,0.9933,0.17,0.033,4.5,6
10.8,0.9934,0.14,0.027,4.5,6
10.8,0.9931,0.17,0.037,4.7,7
9.2,0.9976,0.28,0.053,11.9,5
10.3,0.9937,0.35,0.046,5.0,5
10.3,0.9937,0.335,0.046,5.8,5
11.0,0.991,0.235,0.047,1.2,7
9.0,0.9979,0.28,0.054,12.9,4
10.4,0.9971,0.21,0.046,13.9,6
9.5,0.9969,0.24,0.05,11.5,5
9.5,0.9968,0.24,0.051,11.4,5
9.0,0.9961,0.26,0.058,7.8,5
9.5,0.993,0.33,0.061,1.1,4
9.0,0.9973,0.105,0.05,12.2,6
10.0,0.9944,0.32,0.041,5.9,5
9.1,0.9986,0.26,0.067,14.4,7
9.5,0.9972,0.24,0.053,12.3,6
11.4,0.9917,0.21,0.048,2.5,7
12.2,0.992,0.27,0.03,5.3,6
11.3,0.9932,0.27,0.028,4.9,6
10.2,0.9936,0.34,0.05,3.2,5
11.3,0.9915,0.27,0.052,3.1,5
10.0,0.9922,0.29,0.038,1.4,4
9.4,0.9934,0.28,0.049,1.9,5
12.2,0.9952,0.25,0.032,14.0,7
9.2,0.9972,0.57,0.094,8.3,4
9.6,0.9958,0.17,0.052,7.4,6
9.5,0.9944,0.28,0.056,1.4,5
12.5,0.9908,0.22,0.036,1.7,6
10.0,0.9925,0.14,0.047,1.3,6
9.3,0.9966,0.24,0.047,11.6,5
9.3,0.9972,0.42,0.058,9.2,6
11.6,0.9912,0.28,0.038,1.7,6
12.5,0.995,0.32,0.039,14.5,8
10.6,0.9928,0.31,0.038,2.1,6
9.4,0.9968,0.32,0.047,10.7,5
9.1,0.9955,0.28,0.056,6.9,6
9.0,0.9981,0.29,0.057,12.0,6
11.8,0.991,0.32,0.033,4.75,7
11.8,0.991,0.32,0.033,4.75,7
10.0,0.992,0.28,0.043,1.4,5
9.7,0.9931,0.34,0.058,1.3,5
9.5,0.997,0.25,0.052,11.3,6
9.4,0.9948,0.27,0.24,4.5,5
11.2,0.9923,0.46,0.052,1.7,5
9.0,0.9976,0.36,0.051,13.2,5
10.7,0.9938,0.22,0.043,5.5,7
9.0,0.9984,0.67,0.29,13.0,4
9.1,0.9972,0.28,0.044,10.7,6
10.8,0.9922,0.17,0.039,2.0,7
10.1,0.9935,0.2,0.043,1.9,4
9.9,0.9944,0.36,0.037,6.4,6
9.8,0.9942,0.36,0.036,6.3,5
9.8,0.9944,0.37,0.036,6.3,5
9.5,0.9997,0.29,0.041,17.5,6
9.5,0.9977,0.34,0.047,14.7,5
11.1,0.9912,0.19,0.022,1.0,6
9.5,0.9982,0.31,0.039,14.8,5
9.4,0.9983,0.31,0.042,14.2,5
9.7,0.998,0.4,0.042,13.1,5
13.9,0.9894,0.34,0.03,2.4,7
10.1,0.9927,0.38,0.042,1.2,4
10.5,0.9917,0.33,0.038,1.1,6
12.6,0.9904,0.25,0.037,3.6,6
10.9,0.993,0.27,0.032,6.1,5
10.0,0.9941,0.31,0.041,6.3,5
11.2,0.9943,0.18,0.046,4.4,6
10.0,0.99855,0.2,0.05,13.9,6
9.2,0.99345,0.47,0.044,1.0,5
9.5,0.998,0.25,0.046,12.1,5
12.3,0.9916,0.27,0.035,1.6,6
10.0,0.99475,0.31,0.04,7.5,5
10.8,0.99325,0.39,0.038,2.7,6
10.5,0.9933,0.21,0.038,1.7,7
9.2,0.9969,0.42,0.048,9.2,6
9.1,1.0002,0.27,0.042,18.75,5
10.2,0.9937,0.29,0.042,1.8,7
8.9,0.99685,0.29,0.053,9.0,5
10.4,0.99455,0.3,0.046,1.5,5
11.7,0.9917,0.31,0.032,1.6,6
12.4,0.99035,0.33,0.02,1.3,8
